file_path	icona_attuale	tipo	contesto	proposta_tabler	note
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_add_shot.svg	ztoryc_add_shot.svg	svg	Ztoryc board/animatic toolbar	lucide/square-plus	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_automatch.svg	ztoryc_automatch.svg	svg	Ztoryc board/animatic toolbar	tabler/arrow-autofit-width	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_av_link.svg	ztoryc_av_link.svg	svg	Ztoryc board/animatic toolbar	lucide/unlink	catena APERTA (off)
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_av_link_on.svg	ztoryc_av_link_on.svg	svg	Ztoryc board/animatic toolbar	lucide/link	catena CHIUSA (on)
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_clone.svg	ztoryc_clone.svg	svg	Ztoryc board/animatic toolbar	lucide/copy-plus	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_copy.svg	ztoryc_copy.svg	svg	Ztoryc board/animatic toolbar	lucide/copy	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_delete_shot.svg	ztoryc_delete_shot.svg	svg	Ztoryc board/animatic toolbar	lucide/trash-2	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_edit_shot.svg	ztoryc_edit_shot.svg	svg	Ztoryc board/animatic toolbar	lucide/pencil	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_export_animatic.svg	ztoryc_export_animatic.svg	svg	Ztoryc board/animatic toolbar	lucide/film	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_export_pdf.svg	ztoryc_export_pdf.svg	svg	Ztoryc board/animatic toolbar	tabler/file-type-pdf	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_export_shots.svg	ztoryc_export_shots.svg	svg	Ztoryc board/animatic toolbar	CUSTOM	clapperboard motif: fila di 3 ciak (esterni tagliati) con scritta 'tnz'
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_lock.svg	ztoryc_lock.svg	svg	Ztoryc board/animatic toolbar	lucide/lock-open	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_lock_on.svg	ztoryc_lock_on.svg	svg	Ztoryc board/animatic toolbar	lucide/lock	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_merge.svg	ztoryc_merge.svg	svg	Ztoryc board/animatic toolbar	CUSTOM	da creare: due blocchi uniti da simbolo link/freccia
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_numbering.svg	ztoryc_numbering.svg	svg	Ztoryc board/animatic toolbar	tabler/list-numbers	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_paste.svg	ztoryc_paste.svg	svg	Ztoryc board/animatic toolbar	lucide/clipboard-paste	
toonz/sources/toonz/icons/dark/ztoryc/ztoryc_razor.svg	ztoryc_razor.svg	svg	Ztoryc board/animatic toolbar	lucide/scissors	
